Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
15;1000015;Форма банка (без печати работодателя);Отпуск;0;0.34;женский;0;0;высшее;специалист;>250;0;17;25;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000035;Свободная форма с печатью работодателя;Обучение;1;0.32;женский;2;0;высшее;менеджер высшего звена;< 50;3;25;37;Другое;ООО;женат / замужем;2;2;1;1;0;0;0;1;0;0;1;2;0;5;2;0;0;3;31;0;0;0;0;0;0;0
15;1000055;Форма банка (без печати работодателя);Ремонт;0;0.39;мужской;1;0;*n.a.*;менеджер по продажам;>250;0;51;31;Торговля;ООО;разведен / разведена;2;1;1;0;0;0.0630630631;0;0;0;0;0.2;2;8;104;10;1;1;4;81;1;0;0;0;0;0;0
15;1000075;Поступление зарплаты на счет;Покупка автомобиля;0;0.28;мужской;1;0;высшее;специалист;>250;0;85;29;Другое;ООО;женат / замужем;0;0;0;0;0;0.0512820513;1;0;0;0;0.5;2;2;74;4;1;0;17;80;1;0;0;0;0;0;0
15;1000095;2НДФЛ;Покупка автомобиля;1;0.55;мужской;1;0;высшее;специалист;>250;3;52;25;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000115;2НДФЛ;Покупка недвижимости/ строительство;1;0.59;женский;0;0;незаконченное высшее;вспомогательный персонал;>250;3;65;26;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000135;Поступление зарплаты на счет;Покупка автомобиля;1;0.18;мужской;0;0;второе высшее;специалист;>250;1;10;25;Другое;ЗАО;холост / не замужем;2;2;1;1;0;0;1;0;0;0;0;0;2;12;2;0;0;12;12;0;0;0;0;0;0;0
15;1000155;Поступление зарплаты на счет;Ремонт;1;0.44;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000175;2НДФЛ;Покупка недвижимости/ строительство;1;0.49;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;3;31;45;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000195;Поступление зарплаты на счет;Отпуск;1;0.17;мужской;0;0;высшее;специалист;>250;0;55;28;Другое;ООО;женат / замужем;1;1;0;0;0;0;0;0;0;0;0.1666666667;1;5;56;6;1;1;12;45;0;0;0;0;0;0;0
15;1000215;Поступление зарплаты на счет;Ремонт;1;0.53;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;1;148;51;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.8;4;1;134;5;2;0;28;77;0;0;0;0;0;0;0
15;1000235;Форма банка (без печати работодателя);Покупка автомобиля;1;0.58;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;34;51;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000255;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.35;мужской;0;0;высшее;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000275;Поступление зарплаты на счет;Ремонт;0;0.46;мужской;0;0;высшее;менеджер среднего звена;>250;0;143;46;Торговля;ОАО;женат / замужем;2;1;0;0;0;0.0397350993;1;0;0;0;0.5;2;2;145;4;1;1;34;91;1;0;0;0;0;0;0
15;1000295;Форма банка (без печати работодателя);Другое;1;0.22;женский;1;0;высшее;специалист;>250;0;84;33;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000315;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;0;0;высшее;вспомогательный персонал;>250;0;80;39;Торговля;ООО;холост / не замужем;2;0;0;0;0;0.142384106;1;2;0;0;0.4;6;9;259;15;5;6;5;99;1;0;0;0;0;0;0
15;1000335;Поступление зарплаты на счет;Ремонт;0;0.47;мужской;0;0;высшее;торговый представитель;>250;1;44;26;Другое;ЗАО;женат / замужем;0;0;0;0;0;0.06;0;1;0;0;0.4;2;3;47;5;1;0;5;82;1;0;0;0;0;0;0
15;1000355;Форма банка (без печати работодателя);Ремонт;1;0.15;мужской;2;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000375;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.57;женский;0;0;среднее-специальное;специалист;>250;0;92;36;Другое;ООО;женат / замужем;1;0;0;0;0;0;0;0;0;0;0.5;1;1;43;2;0;0;21;34;0;0;0;0;0;0;0
15;1000395;Поступление зарплаты на счет;Другое;1;0.12;женский;0;0;высшее;специалист;>250;0;18;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000415;Форма банка (без печати работодателя);Отпуск;0;0.39;мужской;1;0;высшее;менеджер высшего звена;< 50;0;36;34;Информационные технологии;ООО;повторный брак;1;0;0;0;0;0;0;0;0;0;0.2;1;4;106;5;0;0;55;77;0;0;0;0;0;0;0
15;1000435;Поступление зарплаты на счет;Покупка автомобиля;1;0.59;женский;0;0;среднее;торговый представитель;>250;0;32;28;Другое;ООО;холост / не замужем;0;0;0;0;0;0.0275862069;1;0;0;0;0.4285714286;3;4;141;7;2;1;12;99;1;0;0;0;0;0;0
15;1000455;Форма банка (без печати работодателя);Ремонт;0;0.27;мужской;0;0;среднее;специалист;< 50;0;23;34;Другое;ООО;холост / не замужем;1;1;1;1;1;0;1;0;0;0;1;1;0;27;1;1;0;62;62;0;0;0;0;0;0;0
15;1000475;Свободная форма с печатью работодателя;Ремонт;0;0.29;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000495;2НДФЛ;Ремонт;0;0.57;женский;0;0;высшее;менеджер среднего звена;>250;1;384;52;Другое;ОАО;холост / не замужем;1;0;0;0;0;0;0;1;1;0;0.625;5;3;71;8;3;0;2;104;0;0;0;0;0;0;0
15;1000515;2НДФЛ;Ремонт;1;0.51;мужской;0;0;среднее;вспомогательный персонал;>250;0;155;46;Информационные технологии;ООО;холост / не замужем;2;1;0;0;0;0.0104166667;0;1;1;0;0.4285714286;3;4;95;7;2;2;2;93;1;0;0;0;0;0;0
15;1000535;Поступление зарплаты на счет;Покупка автомобиля;0;0.45;женский;0;0;среднее-специальное;рабочий;>250;0;9;56;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000555;Свободная форма с печатью работодателя;Ремонт;1;0.35;мужской;1;0;высшее;менеджер высшего звена;< 50;0;47;32;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000575;Форма банка (без печати работодателя);Ремонт;1;0.43;мужской;2;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000595;2НДФЛ;Покупка автомобиля;0;0.38;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;46;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000615;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.38;мужской;0;0;высшее;менеджер высшего звена;< 50;0;92;50;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000635;Свободная форма с печатью работодателя;Ремонт;1;0.31;мужской;1;0;высшее;менеджер высшего звена;>250;0;22;44;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000655;2НДФЛ;Ремонт;0;;женский;0;0;высшее;другое;;1;65;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000675;Свободная форма с печатью работодателя;Обучение;0;0.5;женский;1;0;второе высшее;специалист;< 50;0;28;40;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000695;Поступление зарплаты на счет;Покупка автомобиля;0;0.09;женский;1;0;высшее;специалист;>250;0;195;37;Другое;ООО;женат / замужем;0;0;0;0;0;0.0224719101;0;0;0;0;0;0;4;87;4;0;0;50;79;1;0;0;0;0;0;0
15;1000715;Форма банка (без печати работодателя);Ремонт;0;0.33;женский;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;59;40;Торговля;Индивидуальный предприниматель;женат / замужем;2;1;1;1;1;0;1;0;0;0;0.5555555556;5;4;87;9;2;0;9;29;0;0;0;0;0;0;0
15;1000735;Поступление зарплаты на счет;Ремонт;1;0.29;мужской;0;0;высшее;вспомогательный персонал;>250;0;70;43;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000755;Поступление зарплаты на счет;Покупка автомобиля;1;0.48;женский;1;0;незаконченное высшее;специалист;>250;0;16;30;Торговля;ООО;женат / замужем;6;6;6;6;6;0;0;0;0;0;0;0;1;2;1;0;1;16;16;0;0;0;0;0;0;0
15;1000775;2НДФЛ;Ремонт;1;0.45;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000795;Поступление зарплаты на счет;Обучение;1;0.24;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;< 50;0;10;28;Другое;ООО;холост / не замужем;3;3;3;3;1;0;0;0;0;0;0.3333333333;1;2;39;3;0;0;7;56;0;0;0;0;0;0;0
15;1000815;Поступление зарплаты на счет;Покупка автомобиля;0;0.47;мужской;0;0;высшее;менеджер среднего звена;>250;0;15;29;Торговля;ООО;холост / не замужем;3;1;1;1;0;0.032967033;0;0;0;0;0.125;1;7;88;8;1;0;13;72;1;0;0;0;0;0;0
15;1000835;2НДФЛ;Ремонт;1;0.19;мужской;1;0;высшее;специалист;>250;0;23;31;Другое;ОАО;женат / замужем;5;5;4;4;3;;1;0;0;0;0;0;2;0;2;0;0;47;73;0;0;0;0;0;0;0
15;1000855;2НДФЛ;Ремонт;0;0.28;мужской;0;0;высшее;специалист;>250;0;11;27;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000875;Форма банка (без печати работодателя);Ремонт;0;0.21;мужской;2;0;высшее;менеджер среднего звена;< 50;0;76;39;Другое;Иная форма;женат / замужем;1;0;0;0;0;0.1066666667;1;1;0;0;0.5;2;2;67;4;1;0;5;89;1;0;0;0;0;0;0
15;1000895;Форма банка (без печати работодателя);Покупка автомобиля;0;0.18;мужской;0;0;высшее;торговый представитель;>250;0;22;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000915;2НДФЛ;Ремонт;1;0.43;женский;1;0;высшее;рабочий;>250;3;414;53;Другое;ОАО;женат / замужем;1;0;0;0;0;0;0;0;0;0;0;0;3;20;3;0;0;42;93;0;0;0;0;0;0;0
15;1000935;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;2;0;незаконченное высшее;специалист;< 50;0;52;41;Торговля;ООО;женат / замужем;3;2;1;1;0;0.0198019802;0;0;0;0;0.75;6;2;198;8;1;1;7;103;1;0;0;0;0;0;0
15;1000955;2НДФЛ;Ремонт;1;0.44;мужской;1;0;высшее;менеджер среднего звена;>250;0;57;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000975;Поступление зарплаты на счет;Ремонт;0;0.38;женский;0;0;среднее-специальное;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1000995;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.59;мужской;0;0;высшее;менеджер среднего звена;>250;0;80;55;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;83;83;0;0;0;0;0;0;0
15;1001015;Поступление зарплаты на счет;Ремонт;1;0.59;женский;1;0;высшее;специалист;>250;0;24;30;Другое;ООО;женат / замужем;2;1;1;1;1;0;1;1;0;0;0.25;2;6;66;8;2;0;3;35;0;0;0;0;0;0;0
15;1001035;2НДФЛ;Отпуск;1;0.34;женский;0;0;высшее;специалист;>250;1;34;25;Торговля;ООО;холост / не замужем;4;4;4;3;2;0;0;0;0;0;1;2;0;33;2;0;0;16;16;0;0;0;0;0;0;0
15;1001055;Поступление зарплаты на счет;Ремонт;0;0.23;женский;0;0;высшее;специалист;>250;0;58;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001075;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;0;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;8;30;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.1351351351;1;0;0;0;0;1;8;96;9;1;0;18;54;1;1;0;0;0;0;0
15;1001095;2НДФЛ;Покупка автомобиля;1;0.44;мужской;2;0;высшее;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001115;2НДФЛ;Ремонт;1;0.49;мужской;0;0;высшее;специалист;< 50;0;6;31;Информационные технологии;ООО;холост / не замужем;1;1;1;1;1;0;0;2;0;0;1;2;0;9;2;0;0;3;4;0;0;0;0;0;0;0
15;1001135;2НДФЛ;Ремонт;0;0.47;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001155;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.47;мужской;1;0;высшее;менеджер среднего звена;>250;1;50;31;Торговля;ООО;женат / замужем;0;0;0;0;0;0.2072727273;1;1;0;0;0.4166666667;5;7;218;12;3;2;4;91;1;1;0;0;0;0;0
15;1001175;Поступление зарплаты на счет;Ремонт;1;0.34;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;6;45;Торговля;ЗАО;женат / замужем;1;1;1;1;1;0;1;0;0;0;0;0;2;25;2;0;0;31;111;0;0;0;0;0;0;0
15;1001195;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.33;женский;2;0;высшее;специалист;< 50;0;81;33;Другое;ООО;женат / замужем;1;1;1;0;0;0;0;0;0;0;0;0;1;21;1;0;1;25;25;0;0;0;0;0;0;0
15;1001215;2НДФЛ;Ремонт;0;0.26;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;9;38;Сельское и лесное хозяйство;ООО;женат / замужем;2;1;1;1;1;0.0095238095;0;0;0;0;0.5;3;3;104;6;1;0;12;63;1;0;0;0;0;0;0
15;1001235;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.27;мужской;1;0;среднее-специальное;менеджер высшего звена;< 50;0;66;45;Другое;ООО;женат / замужем;1;1;1;1;0;0.4642857143;1;0;0;0;0;1;2;30;3;1;0;74;90;1;0;0;0;0;0;0
15;1001255;Поступление зарплаты на счет;Отпуск;1;0.22;мужской;2;0;среднее;рабочий;>250;1;36;31;Торговля;ООО;повторный брак;0;0;0;0;0;0;0;0;0;0;0.4;2;3;35;5;1;0;11;81;0;0;0;0;0;0;0
15;1001275;Форма банка (без печати работодателя);Ремонт;1;0.29;мужской;1;0;высшее;рабочий;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
